6.53304e+06, 6.52544e+06, 6.50407e+06, 6.46906e+06, 6.42063e+06, 6.3591e+06, 6.28484e+06, 6.19831e+06, 6.10005e+06, 5.99065e+06, 5.87078e+06, 5.74114e+06, 5.6025e+06, 5.45564e+06, 5.3014e+06, 5.14063e+06, 4.97419e+06, 4.80297e+06, 4.62784e+06, 4.44966e+06, 4.2693e+06, 4.08759e+06, 3.90534e+06, 3.72332e+06, 3.54229e+06, 3.36293e+06, 3.1859e+06, 3.01181e+06, 2.84121e+06, 2.67461e+06, 2.51246e+06, 2.35514e+06, 2.20301e+06, 2.05635e+06, 1.91539e+06, 1.78033e+06, 1.65129e+06, 1.52836e+06, 1.41159e+06, 1.30099e+06, 1.19652e+06, 1.09811e+06, 1.00567e+06, 919059, 838132, 762715, 692617, 627631, 567541, 512118
4.88759e+06, 4.8819e+06, 4.86591e+06, 4.83972e+06, 4.80349e+06, 4.75746e+06, 4.7019e+06, 4.63717e+06, 4.56365e+06, 4.48181e+06, 4.39213e+06, 4.29514e+06, 4.19142e+06, 4.08155e+06, 3.96616e+06, 3.84588e+06, 3.72136e+06, 3.59327e+06, 3.46224e+06, 3.32894e+06, 3.19401e+06, 3.05807e+06, 2.92172e+06, 2.78555e+06, 2.65011e+06, 2.51592e+06, 2.38348e+06, 2.25324e+06, 2.12561e+06, 2.00097e+06, 1.87965e+06, 1.76196e+06, 1.64815e+06, 1.53842e+06, 1.43297e+06, 1.33192e+06, 1.23538e+06, 1.14342e+06, 1.05606e+06, 973317, 895159, 821537, 752375, 687579, 627035, 570613, 518170, 469552, 424596, 383133
3.65657e+06, 3.65232e+06, 3.64036e+06, 3.62076e+06, 3.59366e+06, 3.55922e+06, 3.51765e+06, 3.46922e+06, 3.41422e+06, 3.353e+06, 3.2859e+06, 3.21334e+06, 3.13574e+06, 3.05355e+06, 2.96722e+06, 2.87723e+06, 2.78408e+06, 2.68824e+06, 2.59022e+06, 2.4905e+06, 2.38955e+06, 2.28784e+06, 2.18584e+06, 2.08396e+06, 1.98263e+06, 1.88225e+06, 1.78316e+06, 1.68572e+06, 1.59024e+06, 1.49699e+06, 1.40623e+06, 1.31818e+06, 1.23303e+06, 1.15095e+06, 1.07205e+06, 996457, 924232, 855430, 790076, 728172, 669699, 614620, 562878, 514401, 469106, 426895, 387661, 351288, 317655, 286635
2.73561e+06, 2.73242e+06, 2.72347e+06, 2.70881e+06, 2.68854e+06, 2.66277e+06, 2.63167e+06, 2.59544e+06, 2.5543e+06, 2.50849e+06, 2.45829e+06, 2.40401e+06, 2.34596e+06, 2.28446e+06, 2.21988e+06, 2.15256e+06, 2.08286e+06, 2.01117e+06, 1.93783e+06, 1.86322e+06, 1.7877e+06, 1.71161e+06, 1.6353e+06, 1.55908e+06, 1.48328e+06, 1.40817e+06, 1.33404e+06, 1.26115e+06, 1.18971e+06, 1.11995e+06, 1.05205e+06, 986178, 922475, 861063, 802040, 745483, 691450, 639976, 591083, 544770, 501025, 459818, 421108, 384841, 350954, 319375, 290022, 262811, 237649, 214441
2.0466e+06, 2.04422e+06, 2.03752e+06, 2.02656e+06, 2.01139e+06, 1.99211e+06, 1.96885e+06, 1.94174e+06, 1.91096e+06, 1.87669e+06, 1.83913e+06, 1.79852e+06, 1.75509e+06, 1.70908e+06, 1.66076e+06, 1.6104e+06, 1.55826e+06, 1.50462e+06, 1.44976e+06, 1.39394e+06, 1.33744e+06, 1.28052e+06, 1.22342e+06, 1.1664e+06, 1.10969e+06, 1.0535e+06, 998044, 943507, 890064, 837873, 787075, 737793, 690135, 644191, 600033, 557721, 517297, 478788, 442209, 407561, 374834, 344005, 315045, 287913, 262561, 238935, 216976, 196618, 177793, 160431
1.53113e+06, 1.52935e+06, 1.52434e+06, 1.51614e+06, 1.50479e+06, 1.49036e+06, 1.47296e+06, 1.45268e+06, 1.42965e+06, 1.40401e+06, 1.37592e+06, 1.34554e+06, 1.31304e+06, 1.27862e+06, 1.24247e+06, 1.2048e+06, 1.16579e+06, 1.12566e+06, 1.08461e+06, 1.04286e+06, 1.00058e+06, 957997, 915284, 872625, 830196, 788160, 746671, 705870, 665887, 626841, 588838, 551968, 516314, 481941, 448905, 417250, 387007, 358198, 330832, 304910, 280426, 257362, 235696, 215397, 196431, 178756, 162327, 147096, 133013, 120024
1.14549e+06, 1.14416e+06, 1.14041e+06, 1.13427e+06, 1.12578e+06, 1.11499e+06, 1.10197e+06, 1.0868e+06, 1.06957e+06, 1.05039e+06, 1.02937e+06, 1.00664e+06, 982331, 956582, 929537, 901348, 872166, 842144, 811436, 780196, 748571, 716710, 684755, 652841, 621098, 589650, 558610, 528085, 498173, 468961, 440529, 412946, 386272, 360556, 335841, 312159, 289533, 267980, 247506, 228114, 209796, 192541, 176332, 161146, 146957, 133733, 121442, 110048, 99511.5, 89793.8
856981, 855984, 853180, 848588, 842236, 834164, 824422, 813072, 800183, 785832, 770108, 753102, 734915, 715651, 695419, 674329, 652497, 630037, 607063, 583691, 560032, 536195, 512288, 488412, 464665, 441137, 417915, 395078, 372700, 350846, 329575, 308939, 288983, 269744, 251254, 233537, 216610, 200485, 185168, 170660, 156956, 144047, 131920, 120559, 109943, 100050, 90855, 82330.4, 74448, 67177.8
641137, 640391, 638293, 634858, 630105, 624066, 616778, 608287, 598644, 587908, 576144, 563422, 549815, 535403, 520266, 504489, 488155, 471352, 454165, 436679, 418979, 401146, 383260, 365398, 347631, 330030, 312656, 295572, 278830, 262480, 246566, 231128, 216198, 201805, 187972, 174717, 162053, 149990, 138530, 127676, 117424, 107766, 98693.9, 90194.2, 82252.2, 74851, 67971.7, 61594.2, 55697.1, 50258
479656, 479098, 477529, 474959, 471403, 466885, 461433, 455080, 447866, 439834, 431033, 421515, 411335, 400553, 389229, 377425, 365205, 352634, 339776, 326694, 313452, 300111, 286730, 273367, 260075, 246906, 233909, 221127, 208602, 196370, 184465, 172915, 161745, 150977, 140628, 130712, 121237, 112212, 103639, 95519, 87848.7, 80623.6, 73836.3, 67477.3, 61535.7, 55998.6, 50852, 46080.7, 41668.9, 37599.7
358847, 358430, 357256, 355333, 352673, 349293, 345214, 340461, 335064, 329055, 322470, 315350, 307734, 299667, 291195, 282365, 273223, 263818, 254198, 244411, 234504, 224523, 214513, 204515, 194571, 184719, 174995, 165433, 156062, 146911, 138004, 129363, 121007, 112951, 105209, 97789.8, 90701.9, 83949.8, 77536.1, 71461, 65722.6, 60317.3, 55239.4, 50482.1, 46036.9, 41894.4, 38044.1, 34474.6, 31173.9, 28129.6
268466, 268153, 267275, 265836, 263846, 261318, 258266, 254710, 250672, 246177, 241251, 235924, 230226, 224191, 217853, 211247, 204407, 197371, 190174, 182852, 175441, 167973, 160484, 153005, 145565, 138195, 130920, 123766, 116755, 109909, 103246, 96781.1, 90529.5, 84502.6, 78710.2, 73159.9, 67857.2, 62805.7, 58007.4, 53462.4, 49169.3, 45125.4, 41326.5, 37767.4, 34441.8, 31342.7, 28462.1, 25791.6, 23322.2, 21044.7
200848, 200615, 199958, 198881, 197393, 195501, 193218, 190557, 187537, 184173, 180488, 176503, 172240, 167725, 162983, 158041, 152924, 147660, 142276, 136798, 131253, 125667, 120064, 114468, 108902, 103388, 97945.6, 92593.5, 87348.7, 82226.8, 77241.6, 72405.2, 67728.2, 63219.3, 58885.8, 54733.4, 50766.3, 46987.1, 43397.3, 39997, 36785.3, 33759.8, 30917.8, 28255.1, 25767.1, 23448.5, 21293.4, 19295.6, 17448.2, 15744.3
150261, 150087, 149595, 148790, 147676, 146261, 144553, 142563, 140303, 137786, 135029, 132048, 128859, 125481, 121933, 118236, 114408, 110469, 106441, 102343, 98194.9, 94015.5, 89823.7, 85637.3, 81473.4, 77348.1, 73276.4, 69272.3, 65348.5, 61516.7, 57787.1, 54168.8, 50669.7, 47296.5, 44054.5, 40947.9, 37980, 35152.6, 32467, 29923.1, 27520.3, 25256.9, 23130.6, 21138.6, 19277.2, 17542.6, 15930.4, 14435.7, 13053.6, 11778.8
112416, 112285, 111917, 111315, 110481, 109423, 108145, 106656, 104965, 103083, 101020, 98789.3, 96403.6, 93876.6, 91222.5, 88456.1, 85592.2, 82646, 79632.4, 76566.5, 73463, 70336.2, 67200.2, 64068.2, 60953, 57866.8, 54820.6, 51825, 48889.5, 46022.7, 43232.5, 40525.5, 37907.8, 35384.1, 32958.6, 30634.5, 28414.1, 26298.9, 24289.7, 22386.5, 20588.9, 18895.5, 17304.8, 15814.5, 14422, 13124.2, 11918, 10799.8, 9765.82, 8812.15
84102, 84004.2, 83729, 83278.3, 82655, 81862.8, 80906.8, 79792.9, 78528, 77119.7, 75576.5, 73907.6, 72122.8, 70232.3, 68246.7, 66177, 64034.5, 61830.3, 59575.7, 57282, 54960.1, 52620.9, 50274.7, 47931.6, 45601, 43292.1, 41013.2, 38772, 36575.9, 34431.2, 32343.7, 30318.5, 28360.1, 26472.1, 24657.5, 22918.7, 21257.6, 19675.1, 18171.9, 16748.1, 15403.2, 14136.4, 12946.3, 11831.4, 10789.6, 9818.69, 8916.29, 8079.71, 7306.14, 6592.67
62919.6, 62846.4, 62640.5, 62303.4, 61837, 61244.3, 60529.1, 59695.8, 58749.4, 57695.8, 56541.4, 55292.8, 53957.5, 52543.1, 51057.7, 49509.3, 47906.4, 46257.3, 44570.6, 42854.6, 41117.5, 39367.5, 37612.2, 35859.3, 34115.7, 32388.3, 30683.3, 29006.7, 27363.7, 25759.1, 24197.4, 22682.3, 21217.1, 19804.6, 18447.1, 17146.3, 15903.5, 14719.6, 13595, 12529.8, 11523.7, 10575.9, 9685.58, 8851.44, 8072.03, 7345.69, 6670.58, 6044.7, 5465.97, 4932.2
47072.3, 47017.5, 46863.5, 46611.3, 46262.4, 45819, 45283.9, 44660.4, 43952.4, 43164.2, 42300.5, 41366.4, 40367.5, 39309.3, 38198, 37039.6, 35840.4, 34606.7, 33344.8, 32061, 30761.4, 29452.2, 28139, 26827.5, 25523.1, 24230.8, 22955.2, 21700.9, 20471.7, 19271.3, 18102.9, 16969.4, 15873.3, 14816.5, 13800.9, 12827.7, 11897.9, 11012.2, 10170.9, 9374, 8621.26, 7912.2, 7246.11, 6622.06, 6038.96, 5495.56, 4990.49, 4522.25, 4089.28, 3689.95
35216.4, 35175.4, 35060.2, 34871.5, 34610.4, 34278.7, 33878.4, 33412, 32882.3, 32292.6, 31646.4, 30947.6, 30200.3, 29408.6, 28577.2, 27710.6, 26813.4, 25890.4, 24946.4, 23985.9, 23013.7, 22034.2, 21051.7, 20070.6, 19094.7, 18127.9, 17173.6, 16235.2, 15315.6, 14417.5, 13543.4, 12695.4, 11875.3, 11084.8, 10324.9, 9596.85, 8901.26, 8238.63, 7609.2, 7013.01, 6449.86, 5919.39, 5421.06, 4954.19, 4517.95, 4111.42, 3733.55, 3383.25, 3059.33, 2760.57
26346.6, 26315.9, 26229.7, 26088.5, 25893.2, 25645.1, 25345.6, 24996.7, 24600.4, 24159.2, 23675.8, 23153, 22593.8, 22001.6, 21379.6, 20731.2, 20060, 19369.5, 18663.2, 17944.7, 17217.3, 16484.5, 15749.5, 15015.5, 14285.4, 13562.1, 12848.2, 12146.1, 11458.1, 10786.2, 10132.3, 9497.86, 8884.34, 8292.88, 7724.43, 7179.73, 6659.34, 6163.6, 5692.7, 5246.67, 4825.36, 4428.5, 4055.68, 3706.4, 3380.03, 3075.89, 2793.2, 2531.12, 2288.79, 2065.28
