11982.584674,12236.340505,12494.503656,12757.028890,13023.858605,13294.921926,13570.133771,13849.393882,14132.585844,14419.576086,14710.212864,15004.325255,15301.722145,15602.191240,15905.498091,16211.385168,16519.570976,16829.749241,17141.588165,17454.729793,17768.789478,18083.355492,18397.988783,18712.222903,19025.564138,19337.491842,19647.459014,19954.893122,20259.197204,20559.751254,20855.913913,21147.024474,21432.405204,21711.363993,21983.197331,22247.193592,22502.636628,22748.809648,22984.999359,23210.500326,23424.619536,23626.681100,23816.031047,23992.042170,24154.118839,24301.701738,24434.272445,24551.357805,24652.534010,24737.430337,24805.732481,24857.185418,24891.595764,24908.833576,24908.833576,24891.595764,24857.185418,24805.732481,24737.430337,24652.534010,24551.357805,24434.272445,24301.701738,24154.118839,23992.042170,23816.031047,23626.681100,23424.619536,23210.500326,22984.999359,22748.809648,22502.636628,22247.193592,21983.197331,21711.363993,21432.405204,21147.024474,20855.913913,20559.751254,20259.197204,19954.893122,19647.459014,19337.491842,19025.564138,18712.222903,18397.988783,18083.355492,17768.789478,17454.729793,17141.588165,16829.749241,16519.570976,16211.385168,15905.498091,15602.191240,15301.722145,15004.325255,14710.212864,14419.576086,14132.585844,13849.393882,13570.133771,13294.921926,13023.858605,12757.028890,12494.503656,12236.340505
12238.755475,12502.498010,12771.005405,13044.240150,13322.151910,13604.676528,13891.734986,14183.232339,14479.056621,14779.077719,15083.146236,15391.092344,15702.724628,16017.828945,16336.167298,16657.476742,16981.468337,17307.826160,17636.206398,17966.236539,18297.514676,18629.608956,18962.057187,19294.366630,19626.013999,19956.445702,20285.078331,20611.299439,20934.468616,21253.918898,21568.958511,21878.872977,22182.927589,22480.370257,22770.434739,23052.344236,23325.315347,23588.562370,23841.301911,24082.757774,24312.166085,24528.780608,24731.878181,24920.764221,25094.778224,25253.299177,25395.750823,25521.606678,25630.394742,25721.701808,25795.177313,25850.536659,25887.563941,25906.114041,25906.114041,25887.563941,25850.536659,25795.177313,25721.701808,25630.394742,25521.606678,25395.750823,25253.299177,25094.778224,24920.764221,24731.878181,24528.780608,24312.166085,24082.757774,23841.301911,23588.562370,23325.315347,23052.344236,22770.434739,22480.370257,22182.927589,21878.872977,21568.958511,21253.918898,20934.468616,20611.299439,20285.078331,19956.445702,19626.013999,19294.366630,18962.057187,18629.608956,18297.514676,17966.236539,17636.206398,17307.826160,16981.468337,16657.476742,16336.167298,16017.828945,15702.724628,15391.092344,15083.146236,14779.077719,14479.056621,14183.232339,13891.734986,13604.676528,13322.151910,13044.240150,12771.005405,12502.498010
12499.416749,12773.506863,13052.743590,13337.098452,13626.529713,13920.981284,14220.381587,14524.642376,14833.657514,15147.301727,15465.429320,15787.872877,16114.441954,16444.921762,16779.071873,17116.624934,17457.285439,17800.728543,18146.598959,18494.509953,18844.042453,19194.744308,19546.129712,19897.678824,20248.837624,20599.018004,20947.598161,21293.923292,21637.306623,21977.030819,22312.349765,22642.490766,22966.657165,23284.031402,23593.778502,23895.050006,24186.988325,24468.731497,24739.418328,24998.193863,25244.215161,25476.657295,25694.719528,25897.631581,26084.659919,26255.113956,26408.352105,26543.787559,26660.893731,26759.209239,26838.342370,26897.974934,26937.865428,26957.851478,26957.851478,26937.865428,26897.974934,26838.342370,26759.209239,26660.893731,26543.787559,26408.352105,26255.113956,26084.659919,25897.631581,25694.719528,25476.657295,25244.215161,24998.193863,24739.418328,24468.731497,24186.988325,23895.050006,23593.778502,23284.031402,22966.657165,22642.490766,22312.349765,21977.030819,21637.306623,21293.923292,20947.598161,20599.018004,20248.837624,19897.678824,19546.129712,19194.744308,18844.042453,18494.509953,18146.598959,17800.728543,17457.285439,17116.624934,16779.071873,16444.921762,16114.441954,15787.872877,15465.429320,15147.301727,14833.657514,14524.642376,14220.381587,13920.981284,13626.529713,13337.098452,13052.743590,12773.506863
12764.521788,13049.328219,13339.688545,13635.584757,13936.985190,14243.843339,14556.096607,14873.665003,15196.449796,15524.332122,15857.171547,16194.804605,16537.043312,16883.673669,17234.454160,17589.114275,17947.353053,18308.837685,18673.202182,19040.046140,19408.933621,19779.392190,20150.912113,20522.945780,20894.907359,21266.172723,21636.079695,22003.928628,22368.983367,22730.472616,23087.591751,23439.505088,23785.348644,24124.233398,24455.249061,24777.468360,25089.951818,25391.753022,25681.924350,25959.523100,26223.617991,26473.295953,26707.669146,26925.882106,27127.118944,27310.610468,27475.641153,27621.555819,27747.765917,27853.755322,27939.085511,28003.400048,28046.428272,28067.988138,28067.988138,28046.428272,28003.400048,27939.085511,27853.755322,27747.765917,27621.555819,27475.641153,27310.610468,27127.118944,26925.882106,26707.669146,26473.295953,26223.617991,25959.523100,25681.924350,25391.753022,25089.951818,24777.468360,24455.249061,24124.233398,23785.348644,23439.505088,23087.591751,22730.472616,22368.983367,22003.928628,21636.079695,21266.172723,20894.907359,20522.945780,20150.912113,19779.392190,19408.933621,19040.046140,18673.202182,18308.837685,17947.353053,17589.114275,17234.454160,16883.673669,16537.043312,16194.804605,15857.171547,15524.332122,15196.449796,14873.665003,14556.096607,14243.843339,13936.985190,13635.584757,13339.688545,13049.328219
13034.011034,13329.909905,13631.796826,13939.665834,14253.496977,14573.255009,14898.888036,15230.326078,15567.479587,15910.237899,16258.467631,16612.011043,16970.684353,17334.276040,17702.545119,18075.219434,18451.993961,18832.529157,19216.449370,19603.341339,19992.752811,20384.191307,20777.123065,21170.972209,21565.120163,21958.905371,22351.623349,22742.527106,23130.828000,23515.697033,23896.266658,24271.633101,24640.859247,25002.978102,25356.996849,25701.901504,26036.662164,26360.238832,26671.587785,26969.668454,27253.450739,27521.922703,27774.098550,28009.026795,28225.798511,28423.555529,28601.498477,28758.894505,28895.084588,29009.490246,29101.619586,29171.072524,29217.545104,29240.832807,29240.832807,29217.545104,29171.072524,29101.619586,29009.490246,28895.084588,28758.894505,28601.498477,28423.555529,28225.798511,28009.026795,27774.098550,27521.922703,27253.450739,26969.668454,26671.587785,26360.238832,26036.662164,25701.901504,25356.996849,25002.978102,24640.859247,24271.633101,23896.266658,23515.697033,23130.828000,22742.527106,22351.623349,21958.905371,21565.120163,21170.972209,20777.123065,20384.191307,19992.752811,19603.341339,19216.449370,18832.529157,18451.993961,18075.219434,17702.545119,17334.276040,16970.684353,16612.011043,16258.467631,15910.237899,15567.479587,15230.326078,14898.888036,14573.255009,14253.496977,13939.665834,13631.796826,13329.909905
13307.811116,13615.185369,13929.010062,14249.293023,14576.027810,14909.192307,15248.747236,15594.634597,15946.776026,16305.071089,16669.395500,17039.599286,17415.504893,17796.905256,18183.561840,18575.202669,18971.520361,19372.170186,19776.768187,20184.889371,20596.066018,21009.786133,21425.492080,21842.579452,22260.396193,22678.242051,23095.368385,23510.978388,23924.227772,24334.225960,24740.037841,25140.686116,25535.154288,25922.390317,26301.310962,26670.806828,27029.748115,27376.991045,27711.384959,28031.780013,28337.035429,28626.028215,28897.662248,29150.877617,29384.660098,29598.050603,29790.154476,29960.150455,30107.299157,30230.950921,30330.552851,30405.654936,30455.915095,30481.103072,30481.103072,30455.915095,30405.654936,30330.552851,30230.950921,30107.299157,29960.150455,29790.154476,29598.050603,29384.660098,29150.877617,28897.662248,28626.028215,28337.035429,28031.780013,27711.384959,27376.991045,27029.748115,26670.806828,26301.310962,25922.390317,25535.154288,25140.686116,24740.037841,24334.225960,23924.227772,23510.978388,23095.368385,22678.242051,22260.396193,21842.579452,21425.492080,21009.786133,20596.066018,20184.889371,19776.768187,19372.170186,18971.520361,18575.202669,18183.561840,17796.905256,17415.504893,17039.599286,16669.395500,16305.071089,15946.776026,15594.634597,15248.747236,14909.192307,14576.027810,14249.293023,13929.010062,13615.185369
13585.833877,13905.072596,14231.253769,14564.400919,14904.523104,15251.613393,15605.647259,15966.580873,16334.349309,16708.864657,17090.014052,17477.657628,17871.626394,18271.720055,18677.704785,19089.310968,19506.230929,19928.116674,20354.577666,20785.178672,21219.437715,21656.824154,22096.756962,22538.603224,22981.676921,23425.238040,23868.492086,24310.590028,24750.628770,25187.652172,25620.652706,26048.573788,26470.312837,26884.725102,27290.628290,27686.808017,28072.024078,28445.017551,28804.518672,29149.255464,29477.963039,29789.393480,30082.326202,30355.578652,30608.017205,30838.568078,31046.228103,31230.075144,31389.277988,31523.105509,31630.934917,31712.258931,31766.691718,31793.973458,31793.973458,31766.691718,31712.258931,31630.934917,31523.105509,31389.277988,31230.075144,31046.228103,30838.568078,30608.017205,30355.578652,30082.326202,29789.393480,29477.963039,29149.255464,28804.518672,28445.017551,28072.024078,27686.808017,27290.628290,26884.725102,26470.312837,26048.573788,25620.652706,25187.652172,24750.628770,24310.590028,23868.492086,23425.238040,22981.676921,22538.603224,22096.756962,21656.824154,21219.437715,20785.178672,20354.577666,19928.116674,19506.230929,19089.310968,18677.704785,18271.720055,17871.626394,17477.657628,17090.014052,16708.864657,16334.349309,15966.580873,15605.647259,15251.613393,14904.523104,14564.400919,14231.253769,13905.072596
13867.975356,14199.472990,14538.436110,14884.906020,15238.909453,15600.456937,15969.541058,16346.134602,16730.188598,17121.630244,17520.360731,17926.252969,18339.149217,18758.858630,19185.154738,19617.772869,20056.407539,20500.709830,20950.284790,21404.688873,21863.427479,22325.952613,22791.660730,23259.890807,23729.922697,24200.975848,24672.208416,25142.716886,25611.536229,26077.640700,26539.945328,26997.308172,27448.533405,27892.375290,28327.543070,28752.706831,29166.504336,29567.548827,29954.437790,30325.762604,30680.119031,31016.118433,31332.399591,31627.640978,31900.573312,32149.992189,32374.770588,32573.871012,32746.357048,32891.404103,33008.309092,33096.498877,33155.537260,33185.130381,33185.130381,33155.537260,33096.498877,33008.309092,32891.404103,32746.357048,32573.871012,32374.770588,32149.992189,31900.573312,31627.640978,31332.399591,31016.118433,30680.119031,30325.762604,29954.437790,29567.548827,29166.504336,28752.706831,28327.543070,27892.375290,27448.533405,26997.308172,26539.945328,26077.640700,25611.536229,25142.716886,24672.208416,24200.975848,23729.922697,23259.890807,22791.660730,22325.952613,21863.427479,21404.688873,20950.284790,20500.709830,20056.407539,19617.772869,19185.154738,18758.858630,18339.149217,17926.252969,17520.360731,17121.630244,16730.188598,16346.134602,15969.541058,15600.456937,15238.909453,14884.906020,14538.436110,14199.472990
14154.114757,14498.270220,14850.446620,15210.705306,15579.093074,15955.640410,16340.359617,16733.242813,17134.259789,17543.355751,17960.448920,18385.428018,18818.149628,19258.435447,19706.069445,20160.794931,20622.311574,21090.272370,21564.280609,22043.886870,22528.586075,23017.814667,23510.947941,24007.297615,24506.109680,25006.562617,25507.766051,26008.759927,26508.514287,27005.929741,27499.838713,27989.007549,28472.139573,28947.879149,29414.816819,29871.495572,30316.418251,30748.056128,31164.858611,31565.264053,31947.711571,32310.653780,32652.570292,32971.981814,33267.464634,33537.665265,33781.315000,33997.244095,34184.395315,34341.836544,34468.772202,34564.553204,34628.685222,34660.835076,34660.835076,34628.685222,34564.553204,34468.772202,34341.836544,34184.395315,33997.244095,33781.315000,33537.665265,33267.464634,32971.981814,32652.570292,32310.653780,31947.711571,31565.264053,31164.858611,30748.056128,30316.418251,29871.495572,29414.816819,28947.879149,28472.139573,27989.007549,27499.838713,27005.929741,26508.514287,26008.759927,25507.766051,25006.562617,24506.109680,24007.297615,23510.947941,23017.814667,22528.586075,22043.886870,21564.280609,21090.272370,20622.311574,20160.794931,19706.069445,19258.435447,18818.149628,18385.428018,17960.448920,17543.355751,17134.259789,16733.242813,16340.359617,15955.640410,15579.093074,15210.705306,14850.446620,14498.270220
14444.113401,14801.329053,15167.154892,15541.674785,15924.958190,16317.058288,16718.009976,17127.827700,17546.503142,17974.002757,18410.265143,18855.198268,19308.676545,19770.537767,20240.579911,20718.557828,21204.179838,21697.104247,22196.935836,22703.222335,23215.450935,23733.044900,24255.360314,24781.683048,25311.226014,25843.126781,26376.445658,26910.164318,27443.185084,27974.330965,28502.346554,29025.899901,29543.585442,30053.928095,30555.388603,31046.370176,31525.226499,31990.271107,32439.788139,32872.044409,33285.302735,33677.836396,34047.944565,34393.968515,34714.308369,35007.440112,35271.932564,35506.463997,35709.838042,35880.998555,36019.043108,36123.234771,36193.011924,36227.995837,36227.995837,36193.011924,36123.234771,36019.043108,35880.998555,35709.838042,35506.463997,35271.932564,35007.440112,34714.308369,34393.968515,34047.944565,33677.836396,33285.302735,32872.044409,32439.788139,31990.271107,31525.226499,31046.370176,30555.388603,30053.928095,29543.585442,29025.899901,28502.346554,27974.330965,27443.185084,26910.164318,26376.445658,25843.126781,25311.226014,24781.683048,24255.360314,23733.044900,23215.450935,22703.222335,22196.935836,21697.104247,21204.179838,20718.557828,20240.579911,19770.537767,19308.676545,18855.198268,18410.265143,17974.002757,17546.503142,17127.827700,16718.009976,16317.058288,15924.958190,15541.674785,15167.154892,14801.329053
